Proveedor,Teléfono,Email
"BIOMERIEUX MEXICO, S.A. DE C.V",(548) 195-50,Tax
"BIOTECNOLOGIA AMBIENTAL, S.A.",(552) 406-01,acervantesbt@hotmail.com
"BIOTECNOLOGIA QUIMICA, S.A. DE C.V.",(557) 230-09,BIOQUIM@PRODIGY.NET.MX
"BIOTINOX, S.A. DE C.V.",(565) 917-14,Tax
BOBADILLA LUGO JOSE ALEJANDRO,(565) 364-63,Tax
"BODEGAS EL CELLER, S.A. DE C.V",(537) 723-55,BLANCA@ELCELLER.COM.MX
"BOLSAS LUISIANA, S.A. DE C.V.",(555) 768-3115,j_bolsasluisiana@prodigy.net.mx
"BONAFONT, S.A. DE .C.V",,Tax
CABALLERO SORIA ISABEL,(573) 201-90,Tax
CABAÑAS FELIPE,(568) 145-44,Tax
CACHE CORPORATION,(512) 295-2708,CACHE@UTS.CC.UTEXAS.EDU
"CAJAS DE CARTON CANTABRIMEX, S",(557) 847-38,Tax
CALZA MEXICO S.A DE C.V.,(018) 008-4970 Ext 66,IBIZA_COBRANZA@HOTMAIL.COM
"CALZADO VAN VIEN, S.A. DE C.V.",(535) 809-88,VENTAS@VANVIEN.COM.MX
"CAMARA #1, S.A. DE C.V.",(555) 424-07,Tax
CAMNETICS INC,(608) 835-2378,SUPPORT@CAMNETICS.COM
CAMPOS GARCIA JOEL,(559) 276-30,Tax
CANO MENDOZA JESUS,(576) 162-68,Tax
"CARL ZEISS DE MEXICO, S.A. DE",(599) 902-61,mauricio.ramirez@zeiss.com
"CASA ARGOYTIA, S.A. DE C.V.",(525) 944-91,jimena.sanchez@lrscapital.com.mx
"CASA GIFFENING, S.A. DE C.V.",(524) 993-00,Tax
CASA STOBSCHINSKY S.A. DE C.V.,,Tax
"CASTEC, S.A. DE C.V.",(526) 446-66,Tax
BAJA NO ACTIVAR,(555) 701-1543,NOELIA.SEINOS@CEZPRODUCTS.COM.MX
CELIS GARCIA TANIA ILDELIZA,(585) 717-82,Tax
"CENTRO MAGNETICO DLM, S.A. DE",(559) 649-49,enriquep_dlm@prodigy.net.mx
"CHROMETRO, S.A. DE C.V.",(917) 191-51,JLS@CHROMETRO.COM
CIME IX MARTINIANO,(561) 365-49,cimeix@yahoo.com.mx
"CITIZEN DE MEXICO, S.A. DE C.V",(015) 506-1184 Ext 0,Tax
"CLASE Y MODA, S.A. DE C.V.",(265) 228-55,ADRIANA.SANCHEZ@DCHAVEZ.COM.MX
"CLEAN DUTY DE MEXICO, S.A. DE",(552) 387-71,CLEANDUTYDEMEXICO@HOTMAIL.COM
CLEVERBRIDGE AG,(441) 223-4208 Ext 44,cs@cleverbridge.com
CMC DISTRIBUIDORA DE CONSUMIBL,(354) 767-67,Tax
COASTAL TRAINING TECHNOLOGIES,(018) 003-6777 Ext 03,mario.g.briceno@dupont.com
"COCITEC MEXICANA, S.A. DE C.V.",(917) 906-00,Tax
"CODE INGENIERIA, S.A. DE C.V.",(216) 359-25,jose.ruiz@code-ing.com
"CODELMEX, S.A. DE C.V.",(576) 338-98,Tax
COFFEECUP SOFTWARE,,Tax
"COLUMBIA FILTER INTERNACIONAL,",(536) 173-14,Tax
COMERCIAL SEMOSA S.A.,(567) 506-22,Tax
COMTELSAT S.A. DE C.V,(157) 970-00,hsanchez@comtelsat.com.mx
INACTIVO,(563) 620-00,Tax
COMUNICACION Y PROYECTOS,(525) 049-99,agustingarciacpi@prodigy.net.x
CONEXION LATINA,,Tax
CONSORCIO GRAFICO DE MEXICO S.,(586) 552-76,Tax
CONSORCIO IUYET. S.A. DE C.V.,(017) 222-1348 Ext 58,Tax
"CONSORCIO RED UNO, S.A. DE C.V",(552) 238-712,Tax
"CONTINENTAL LAB. PRODUCTS, S.A",(552) 767-94,cotizaciones@clpmexico.com
COPYPLOT SA DECV,(568) 310-53,caridad@copyplot.com.mx
CORDOVA SALAS ANDRES R.,(533) 693-31,arcs_si@yahoo.com
CORONA TREJO JUAN MAYOLO,(573) 342-60,servicio-cor@hotmail.com
CORP INTERNACIONAL  DE EQUIPOS,(556) 643-42,Tax
CORPORACION DE MUEBLES EN DISE,(526) 488-49,Tax
CORPORACION MICROGRAFICA DE ME,(013) 331-6530 Ext 19,gabrielamacias@grupocmm.com.mx
"CREARTON, S.A. DE C.V.",(564) 273-88,Tax
CRYSTAL INTELLIGENCE.S.A. DE C,(330) 006-17,Tax
CRYSTAL SYSTEMS INC,(978) 745-0088,Tax
"CST TAPES, S.A. DE C.V.",(526) 003-73,Tax
CUBERO SILVA JOAQUIN RICARDO,(574) 078-05,Tax
CUEVAS  ESTRADA  NEFTALI  N,(563) 020-33,Tax
"CUPSA CONSTRUCCIONES, S.A.",(559) 086-80,Tax
"DAZ PRODUCTIONS, INC",(180) 026-7517 Ext 0,Tax
DE GANTE TELLEZ JORGE,(260) 315-15,Tax
DE LA TORRE ALVAREZ MARIA DE L,(537) 007-48,madelatorre@distribuidoraisa.com
"DE LORENZO OF AMERICA CORP, S.",(555) 543-4560,vanessao@delorenzo.com.mx
"DELL  MEXICO,S.A DE C.V.",(552) 716-5907,pamela.manzano@dell.com
"DELTA E CERO, S.A. DE C.V.",(859) 063-36,Tax
"DESIGN SCIENCE, INC",(562) 432-2920,SALES@DESSCI.COM
"DESSA MUEBLES, S. A. DE C.V.",(527) 214-87,dessamjesus@prodigy.net.mx
"DIAMANTEX, S.A. DE C.V.",(555) 518-1488,edson@diamantex.com
DIBUJO ARQUITECTONICO POR COMP,(554) 535-50,claudia.perez@darco.com.mx
"DICIMEX, S.A. DE C.V.",(560) 461-03,rzepeda@dicimex.com
LOPEZ VARGAS GERARDO ABRAHAM,(837) 776-28,Tax
DIGITAL RIVER GMBH,(492) 213-1088 Ext 30,Tax
DINAMICA EN RADIOCOMUNICACION,(551) 144-51,diresa@prodigy.net.mx
DISEÑO E INGENIERIA EN COMPUTA,(539) 401-43,Tax
"DISEÑO Y MANUFACTURA DIGITAL, SA DE C",(014) 422-2555 Ext 88,prospero.silvestre@dmd.com.mx
DISPOSITIVOS ELECTRONICOS Y DE,(915) 716-00,benjamin.aguilar@decsa-mexico.com
DISTRIBUIDORA DE REFRIGERACION,(559) 267-08,DIEGO@DIREMACO.COM
DISTRIBUCIONES BIOTECNOLOGICAS,(556) 025-58,Tax
"DISTRIBUIDORA CHEVROLET, S.A",(567) 549-55,RAIMUNDOR@IRAL.NET
DISTRIBUIDORA DE PRODUCTOS QUI,(571) 512-15,Tax
DISTRIBUIDORA DE REFACIONES HE,(558) 822-07,Tax
"DISTRIBUIDORA METALICA, S.A. D",(557) 678-00,NAUCALPAN@METALICA.COM.MX
"DISTRIBUIDORA PERMO, S.A. DE C",(578) 121-43,GRACIELAFERNANDEZ@PERMO
"DMS TECNOLOGIAS, S.A. DE C.V.",(551) 349-30,info@dmstecnologias.com.mx
DROGUERIA COSMOPOLITA S. A.,(559) 389-90,drocosmo@prodigy.net.mx
DURAND RIVERA ANTONIO JAVIER,(569) 654-51,Tax
"DURO DE MEXICO, S.A. DE C.V.",(559) 216-46,DUROREFORMA@PRODIGY.NET.MX
DYNAMIC SYSTEMS INC.,(828) 683-3523,Tax
"ECOLAB, S. DE R.L. DE C.V.",(586) 418-44,servicioalcliente@ecolab.com
"EDITORIAL MARCO POLO, S.A. DE",(565) 979-40,ventas@edmarcopolo.com
EDMUND INDUSTRIAL OPTICS,,Tax
"EILI DICON, S.A.",(556) 744-20,edisa67@prodigy.net.mx
"EL CRISOL, S.A. DE C.V.",(526) 455-00,atclientes16@elcrisol.com.mx
EL PALACIO DE HIERRO S.A. DE C.V.,,Tax
ELECTRICA OBSERVATORIO S.A.DE,(527) 703-07,electrica.observatorio@prodigy.net.mx
ELECTRICROSS INC.,(831) 438-3500,SALES@ELECTRICROSS.COM
"ELECTRONICA  JAY, S.A. DE C.V.",(557) 002-69,santafe@steren.com.mx
ELIMARSO S.A. DE C.V.,,Tax
ELVEC S.A. DE C.V.,(566) 006-51,ventas1@elvec.com.mx
EMERGENCY CARE RESEARCH INSTIT,(161) 082-5600 Ext 0,AMALIA
"EMPAQUES PLASTICOS DE MEXICO,",(552) 613-8418,BUZON@EMPAQUESPLASTICOS.COM.MX
"EMPRESAS SVIC, S.A. DE C.V.",(531) 174-89,LIC.
ENIGMA INDUSTRIES,,INFO@ENIGMAINDUSTRIES.COM
ENOVACIONES MEXICANAS DE ALAMB,,Tax
ENTERTAINMENT PARTNERS,,Tax
"EQCILAB, S.A. DE C.V.",(574) 078-25,eqcilab@prodigy.net.mx
EQUIPAR S.A. DE C.V.,(542) 099-01,lmorales@equipar.com.mx
"EQUIPOS DE ENSAYE CONTROLS, S.",(567) 261-86,Tax
EQUIPOS INDUSTRIALES DE LIMPIE,(556) 525-00,Tax
EQUIPOS INTERFERENCIALES DE MEXICO,(777) 317-7035,mgarcia@interferenciales.com.mx
"ESCAPE AUDIO, S.A. DE C.V.",(565) 184-10,ferriestra@mac.com
ESPINOSA RUIZ JORGE ANTONIO,(533) 657-42,Tax
ESTRUCTURAS DIGITALES DE MEXIC,(551) 528-47,Tax
"EXCLUSIVAS BENET, S.A. DE C.V.",(555) 274-77,HMONTOYA@BENET.COM.MX
"EXITE.TI, S.A. DE C.V.",(300) 029-29,arturo.soto@exiteti.com.mx
"F. RUIZ E HIJOS, S.A.",(554) 792-70,creditoycobranza@fruizehijos.com
FARMA FACIL S.A. DE C.V.,(108) 524-00,farmaprontosantafe1@gmail.com
"FARMACIAS SALLENT, S.A. DE C.V",(555) 452-50,ventas@farmaciasallent.com
FERNANDEZ RAMON CARLOS ALBERTO,(563) 952-32,Tax
"FERRETERA PEGASO, S.A. DE C.V.",(522) 097-99,diana.garcia@gmail.com
FIGUEROA RAMIREZ ERIKA,(555) 849-3505,bandermex@hotmail.com
"FINCA LA SANTA VERACRUZ, SA DE",(521) 983-42,Tax
FLORES AGUILERA MARTHA,(564) 500-02,Tax
FLORES GUTIERREZ RICARDO,(552) 743-86,Tax
FLORES MONDRAGON LUCIO,(554) 824-63,fmlucio@hotmail.com
FLUENT INCORPORATED,(603) 643-2600,Tax
"FLUSISTEMAS, S. DE R.L. DE C.V",(552) 628-0526,enlace@swagelok-mx.com
"FONKEL MEXICANA, S.A. D E.C.V",(553) 361-14,Tax
"FOTO REGIS C.I.F., S.A. DE C.V",(506) 151-30,nmartinez@fotoregis.com
FUTEK ADVANCED SENSOR TECHNOLO,(949) 465-0900,Tax
"FUTUTRONIC, S.A DE C..V.",(552) 101-63,Tax
"GALVANOQUIMICA, S.A. DE C.V.",(569) 269-56,Tax
GARCIA CERROS FERNANDO,(568) 896-73,Tax
GARCIA FERNANDO ALVARADO,(017) 223-4400 Ext 24,Tax
GARCIA MARQUEZ ERISTEO,(017) 773-2310 Ext 61,Tax
GARCIA MARTINEZ MARIANO,(044) 221-4904 Ext 1,Tax
GARDUÑO CALDERON JUAN,(573) 761-23,Tax
"GEMPLUS INDUSTRIAL, S.A. DE C.",(524) 988-23,Tax
"GLEIM PUBLICATIONS, INC",(135) 237-5077 Ext 2,Tax
"GLOBAL COMPUTING, S.A. DE C.V.",(551) 442-25,hector.vadillo@globalcomputing.com.mx
GOMEZ TORIBIO OLGA,(568) 128-21,pinturastetelpan@yahoo.com.mx
GONZALEZ JIMENEZ VICTOR,(555) 849-49,Tax
GONZALEZ MALDONADO FRANCISCO L,(333) 041-68,Tax
GONZALEZ MENDEZ J. VENTURA,(559) 479-13,Tax
METROLOGIA INTEGRADA A LA MANU,(511) 616-80,Tax
GONZALEZ RODRIGUEZ EMILIO,(578) 221-79,Tax
INACTIVO,,Tax
"GRAINGER, S.A. DE C.V.",(018) 008-0080 Ext 80,Gerardo.Lopez@grainger.com
GRANADOS DEL ANGEL MIGUEL ANGE,(215) 611-37,Tax
GRUPO ABASTECEDOR INDUSTRIAL M,(510) 926-85,Tax
"GRUPO ALPHA SIMET, S.A. DE C.V",(553) 323-85,Tax
"GRUPO ARTE Y TECNOLOGIA, S.A.",(565) 990-60,Tax
"GRUPO DE LOS SANTOS GARZA, S.A",(522) 631-6,GRUPODELOSSANTOS@HOTMAIL.COM
"GRUPO DERMET, S.A. DE C.V.",(300) 355-00,Tax
"GRUPO DIEZ TECNOLOGIA, S.A. DE",(263) 637-20,mlopez@grupodiez.com
GRUPO FIL S.A. DE C.V.,(574) 128-80,Tax
"HORUS DE MEXICO , S.A. DE C.V.",(555) 352-9012,lmromero@grupohorus.mx
GRUPO JARDINERO Y AGROPECUARIO,(534) 815-77,Tax
"GRUPO MADISA, S.A. DE C.V.",(555) 601-6955,adelacruzh@prodigy.net.mx
"GRUPO PUBLICITARIO NERMACK,",(911) 680-96,r.garduno@nermack.com
"GRUPO SSC, S.A. DE C.V.",(014) 151-5205 Ext 47,eudoxio.ramos@grupossc.com
"GRUPO VIDRIERO ALCRIMEX, S.A.",(555) 672-1951,cabina3@alcrimex.com
GS TECNOLOGIA APLICADA S.A. DE C.V.,(511) 958-28,carlos_rocha@gstecnologia.com
GUZMAN HOYOS GUADALUPE,(556) 320-25,Tax
"HEBEN HEALTHCARE, INC.",(908) 756-1895,HEBENHC@AOL.COM
"HIDROTECNOLOGIA APLICADA, S.A. DE C.V",(539) 083-64,Tax
"HIGYENIC MEXICO, S.A. DE C.V.",(554) 362-10,Tax
"HOME MART MEXICO, S.A. DE C.V.",(527) 808-40,Tax
HOSTMONSTER INC,,Tax
"IDEAL FITNESS, INC",(174) 528-32,Tax
"IHS, S.A. DE C.V.",(536) 056-92,Tax
IIARF BOOKSTORE,,Tax
"IISA, S.A. DE C.V.",(551) 953-87,Tax
"IKUSI-GS MEXICO, S.A. DE C.V.",(566) 386-88,jesus.zarate@ikusi.com
"ILUMINACION ESPECIAL GL, S.A.",(533) 914-90,betoventas@grupolighting.com.m
IMPORTADORA Y DISTRIBUIDORA MA,(567) 286-00,Tax
IMPRESION Y SERVICIOS GRAFICOS,(567) 470-51,Tax
"INDUSTRIAS BIRTMAN, S.A. DE C.",(558) 010-80,VENTAS@BIRTMAN.COM.MX
"INDUSTRIAS CARSA, S, A. DE C.V",(563) 334-90,ivanicarsa@telmexmail.com
INDUSTRIAS PLASTICAS DE CALIDA,(568) 552-12,indplasticas@hotmail.com
INDUSTRIAS RIVER S.A. DE C.V,,Tax
"INDUSTRIAS RIVIERA, S.A. DE C.",(110) 022-00,rjaime@rivieramex.com.mx
"INFRA, S.A. DE C.V.",(532) 930-40,adgasesp@infra.com.mx
INGENIERIA E INSTRUMENTACION I,(752) 759-0,Tax
"INNALABS HOLDING, INC",(916) 516-1179,Tax
"INNOVA INVESTIGACION, S.A. DE",(575) 128-54,innovain@prodigy.net.mx
"INSTRUMENT SPECIALISTS, INC.",(262) 877-3600,Tax
"INSTRUMENTOS Y EQUIPOS FALCON,",(171) 906-00,mxfalcon@prodigy.net.mx
"INTELIMED, S.A. DE C.V.",(354) 780-14,edner@intelimed.com.mx
INTERNACIONAL DE EQUIPOS CIENT,(574) 114-60,ventas@iecsaenlinea.com
"INTERNET SECURITY SOLUTIONS, S",(559) 889-69,Tax
"INVENSYS SYSTEMS MEXICO, S.A.",(526) 301-62,Tax
"IRRITINSA, S.A.",(555) 604-1863,tinsa@prodigy.net.mx
"IT 21, S.A. DE C.V.",(556) 319-04,Tax
"IT ERA, S.A. DE C.V.",(528) 176-70,ANAVIA@ITERA.COM.MX
"IXSA  INDUSTRIAL, S.A DE C.V.",(567) 654-57,Tax
JAPAY S.A. DE C.V.,(651) 444-4,Tax
JAUREGUI MACIAS GUSTAVO CRISTO,(530) 128-66,Tax
"KEY QUIMICA, S.A. DE C.V.",(555) 587-5022,liliana.herrada@key.com.mx
"KODAK MEXICANA, S.A. DE C.V.",(110) 517-06,kleinert@kodak.com
KOSMOS SCIENTIFIC DE MEXICO S.A. DE C,(811) 767-0070,irma.cerda@kosmos.com.mx
"LA ANSCO, S.A.",(551) 283-85,ansco@prodigy.net.mx
"LA EUROPEA MEXICO, S.A. DE C.V",(216) 740-33,admsantafe@laeuropea.com.mx
LA PROVEEDORA DEL HOGAR SU CAS,(551) 271-12,Tax
LARESGOITI DIVISION INDUSTRIAL,(145) 054-62,Tax
LATINSPOTS INTERNACIONAL S.A.,(541) 145-7653 Ext 35,Tax
"LCT DIDACTICOS, S.A. DE C.V.",(364) 044-30,mariteacher@lctdidacticos.com
"LEACSA, S.A. DE C.V.",(566) 200-10,correo@leacsa.com
"LECTRA SYSTEMES, S.A. DE C.V.",(556) 391-91,Tax
"LEON WEILL, S.A.",(555) 488-3600,eperez@leonweill.com.mx
CARVAJAL TECNOLOGIA Y SERVICIOS  SA,(509) 300-00,mario.martinez@carvajal.com
"LIBRERIA INTERNACIONAL, S.A. D",(526) 511-65,libros.psicologia@libinter.com
LIGA IBERO DE FUTBOL AMTEUR A.,(561) 068-67,Tax
LOERA RESENDEZ FRANCISCO JAVIER,(575) 010-89,SALAZAR.R_TIEMPOYMEDIDAS@HOTMAIL
"LOGUERKIM, S.A. DE C.V.",(559) 875-45,Tax
MPI NUTRITION INTERNATIONAL,(765) 962-9561,Tax
LOPEZ ORDUÑA TAMARA,(570) 991-00,Tax
"LUGUER MEXICO, S.A. DE C.V.",(568) 205-27,Tax
"LUNA EQUIPOS PARA OFICINA, S.A",(553) 259-19,ventas@trituradorasdedocuments
LUVIANO SOTO RAUL AMADO,(563) 446-87,Tax
MEDICAL DISTRIBUTION INTERNATI,(528) 324-82,Tax
"MACAME Y CIA, S.A. DE C.V.",(563) 225-07,Tax
MACROELECTRONICA EMPRESARIAL S,(563) 939-44,Tax
MADERERIA LA ARBOLEDA S.A. DE,(557) 783-87,madererialaarboleda@gmail.com
"MALE Y MIDOR, S.A. DE C.V.",(529) 296-66,Tax
"MAQUINARIA INDUSTRIAL CABRERA,",(536) 245-02,ELEON@MAINCASA.COM
"MAQUINARIA Y EQUIPO MADERERO,",(555) 760-313,leticiamo@centromac.com.mx
"MARIO SAN JUAN  Y COMPAÑIA, S.",(511) 115-14,Tax
MARTINEZ VALENCIA JOSE REFUGIO,(551) 829-76,Tax
MCMASTER-CARR SUPPLY CO.,(630) 833-7100,la.sales@mcmaster.com
MED ASSOCIATES INC.,(802) 527-2343,brooke.clodgo@med-associates.com
"METALES DIAZ, S.A. DE C.V.",(508) 302-60,jesus.olea@metalesdiaz.com.mx
"METROPOLITANA DE COMUNICACION,",(554) 420-74,Tax
MF ATHLETIC COMPANY,,Tax
"MICROMETROS DE MEXICO, S.A DE",(539) 323-23,dsandoval@micromex.com.mx
"MILLIPORE, S.A. DE C.V.",(557) 696-88,Tax
MIND GARDEN,,Tax
MOCTEZUMA GONZALEZ ANDRES,(536) 423-64,Tax
MONDRAGON MUÑOZ MIGUEL,(818) 332-2125,mmondragon@tecsol3d.com
MONROY SANCHEZ JOEL,(556) 594-54,Tax
MSC SOFTWARE CORPORATION,,juan.lopez-de-alda@mscsoftware.com
"MUEBLES PARA BAÑO, S.A. DE C.V",(555) 784-8851,morbezo@gersamex.com.mx
"MULTICHAPAS, S.A DE C.V.",(531) 222-20,VENTAS@MULTICHAPAS.COM.MX
MULTIPLASTIC SA DE CV,,Tax
NAMI NAUCALPAN S.A. DE C.V.,,Tax
NATIONAL INSTRUMENTS DE MEXICO,(800) 433-3488,services@ni.com
NAVACOM DIRECT S.A. DE C.V.,(511) 865-80,Tax
"NEODATA VALLE DE MEXICO, S.A.  DE C.V.",(528) 601-01,jcasanas@neodata.com.mx
"NETWORK STORAGE SOLUTIONS, S.A",(526) 017-60,Tax
"NEUROFEEDBACK CLINIC, S.A. DE",(566) 238-50,Tax
"NUEVA WAL-MART DE MEXICO, S. D",,Tax
NUEVO ANGULO EN DISTRIBUCION M,(539) 033-10,Tax
"NUTRER, S.A. DE C.V.",(108) 345-00,Tax
NUTRICION MEDICA Y TECNOLOGIA S.A. D,(777) 318-2116,annilunmt@yahoo.com.mx
"NUTRISCIENCE INNOVATIONS, LLC.",(539) 626-83,Tax
OBRA NACIONAL DE LA BUENA PREN,(554) 645-00,Tax
"OCEAN OPTICS, INC.",,ricardo.nobara@oceanoptics.com
"OCP, S.A. DE C.V.",(222) 279-6500 Ext 104,info@ocp.com.mx/bernardo.gonzaga@ocp.co
"OFFICE DEPOT DE MEXICO, S.A.",(524) 640-00,Tax
OLVERA RAMIREZ PROCORO,(216) 056-91,Tax
"OMEGA DISTRIBUIDORA DE HILOS,",(552) 286-60,orden@hilosomega.com
"ONLINET, S.A. DE C.V.",(558) 626-13,Tax
"OPTIMIZACION CORPORATIVA, S.A.",(216) 732-88,macaria@optimizame.com
"OPTIMIZACION ECOLOGICA, S.A. D",(216) 071-49,Tax
ORACLE DE MEXICO S.A. DE C.V.,,nayely.flores@oracle.com
PAESSLER AG,,Tax
PAPELERA PRINCIPADO S.A. DE C.,(544) 530-00,larzaluz@principado.com.mx
"PAPELERA RIOS, S.A. DE C.V.",(525) 923-45,Tax
PAPELES VERMAR S.A. DE C.V.,(535) 605-00,Tax
"PARTS SHOP ELECTRONICS, S.A DE",(588) 749-22,MARIJO.FLORES@MASTER.COM.MX
"PCA INSTRUMENTACION ANALITICA,",(578) 462-21,ECASTILLO@PCAIAN.COM
PEDRAZA BELTRAN RODOLFO,(560) 239-85,Tax
PEREZ HERNANDEZ JUAN,(981) 688-1240,ventasprovitec@hotmail.com
PEREZ RODRIGUEZ SANDRA IVONNE,(900) 033-60,Tax
PEREZ SERVIN ROSA MARIA,(735) 153-2505,tycamore@yahoo.com.mx
PERFILES Y ACEROS CUAJIMALPA,(555) 812-3434,ventas@aceroscuajimalpa.com.mx
"PERKIN ELMER DE MEXICO, S.A.",(533) 707-00,alejandro.villegas@perkinelmer.com
PHASE II DE MEXICO  S.A. DE C.,(569) 999-41,jmateos@phase2.com.mx
"PINTURAS EL CONTADERO, S.A. DE",(581) 205-61,Tax
"PIXELART, S.L.",,ISARELGALLEGOS@PRODIGY.NET
"PLASTI-MUNDO, S.A. DE C.V.",(568) 938-15,marybr19@hotmail.com
"POLIOLES, S.A DE C.V.",(914) 005-00,jorge.martinez@polioles.com.mx
POLIVOM RUEDAS Y RODAJAS S.A,(556) 078-33,isaacpolivom@hotmail.com
PONCIANO SANCHEZ  ALBERTO,(216) 507-31,Tax
POTENCIA ELECTRONICA Y CONTROL,(539) 603-36,Tax
PRAIRIE SEATING CORPORATION,,prairieusa@aol.com
"ELEMENT 14, S DE RL DE CV",,mestradaLedon@newark.com
PROCESS SYSTEMS ENTERPRISE LIM,(144) 020-85,Tax
"PROCESS TECHNOLOGY SOLUTIONS,",(534) 391-14,Tax
"PRODUCTOS LYT, S.A. DE C.V.",(557) 841-99,maria.salgado@prolyt.com
"PROEPTA, S.A. DE C.V.",(212) 271-00,Tax
PROMOCION Y DISTRIBUCION CINCO,(542) 523-84,josejavier@prodisa5.com.mx
"PROMOCIONES Y BANQUETES, S, A",(566) 396-71,Tax
PROMOTORA AUTOMOTRIZ SANTA FE.,(917) 773-60,ARANGEL@TOYOTASANTAFE.COM
"PROVEEDOR CIENTIFICO, S.A.",(548) 310-55,armando.martinez@f-pc.com.mx
"PROYECT ARQ MUEBLES, S, A. DE",(018) 007-0224 Ext 52,VENTAS_GEROGINA@PROYECTARQ.COM
"PROYECTOS LUMINICOS, S.A.",(535) 824-30,prolum@prodigy.net.mx
"PROYECTOS, INSTALACIONES, CONS",(569) 800-11,Tax
PUENTES RODRIGUEZ ERNESTO SERG,(569) 891-07,Tax
PUNTO EN TECNOLOGIAS DE LA INF,(553) 167-17,Tax
"PURE, S.A.",(535) 206-84,Tax
"PURIFICADORES PASTEUR, S.A. DE",(535) 880-55,v_turmix@hotmail.com
